price,accommodates,bedrooms,bathrooms,room_type,neighbourhood
125.74717559476946,4,2,1.5,Shared room,Neukolln
89.7785892086235,5,3,1.0,Private room,Kreuzberg
85.29134337483814,4,1,1.0,Shared room,Prenzlauer Berg
85.29209177327203,5,3,2.0,Entire home/apt,Neukolln
215.98857648922603,5,3,2.0,Entire home/apt,Mitte
144.66824923856888,1,2,1.5,Shared room,Neukolln
75.24312006963596,2,2,2.0,Private room,Prenzlauer Berg
128.79257893724855,5,2,2.0,Shared room,Neukolln
109.95841056258587,5,2,2.0,Entire home/apt,Kreuzberg
38.63659773962342,3,1,2.0,Shared room,Mitte
56.84969130750825,2,1,1.0,Shared room,Mitte
114.24662549392653,3,2,1.5,Entire home/apt,Mitte
204.60707469934113,2,1,2.0,Shared room,Prenzlauer Berg
85.67408739836584,3,2,1.0,Shared room,Prenzlauer Berg
72.32109756217214,5,3,1.0,Private room,Mitte
102.56030165888663,5,3,1.0,Private room,Neukolln
70.2113792287239,1,3,2.0,Entire home/apt,Mitte
82.70965524556755,3,2,2.0,Entire home/apt,Neukolln
95.97209915761059,4,3,1.5,Entire home/apt,Neukolln
55.60549219375534,1,1,2.0,Private room,Prenzlauer Berg
148.80240376852555,3,3,2.0,Entire home/apt,Neukolln
51.4072578511616,3,3,1.0,Entire home/apt,Mitte
48.91173775338693,1,3,1.5,Entire home/apt,Prenzlauer Berg
107.3580167155254,5,1,2.0,Private room,Kreuzberg
142.53415231916202,3,2,2.0,Shared room,Kreuzberg
105.91342297428282,5,1,1.0,Entire home/apt,Prenzlauer Berg
90.87116708338402,1,2,1.0,Shared room,Mitte
82.29525739933896,5,2,2.0,Entire home/apt,Kreuzberg
75.59639322746602,2,3,1.5,Shared room,Kreuzberg
167.511972020778,4,2,1.5,Private room,Neukolln
114.84175757559689,3,1,1.0,Private room,Neukolln
78.69275254634616,4,1,1.0,Entire home/apt,Mitte
67.46426117246229,5,2,2.0,Shared room,Prenzlauer Berg
133.50475826831496,3,3,1.0,Private room,Mitte
165.3376669360887,5,3,2.0,Entire home/apt,Prenzlauer Berg
157.24839127211555,2,1,1.5,Entire home/apt,Kreuzberg
62.041881928453876,1,3,1.5,Private room,Neukolln
81.93991205150496,3,2,2.0,Private room,Mitte
74.85739870080394,2,2,1.0,Entire home/apt,Mitte
87.53152463143954,2,1,1.5,Shared room,Prenzlauer Berg
148.04354093453026,3,2,1.0,Shared room,Prenzlauer Berg
194.09049828828842,5,1,1.5,Shared room,Mitte
117.13948561233994,2,2,2.0,Entire home/apt,Prenzlauer Berg
68.59378492368869,4,1,2.0,Private room,Mitte
94.83367859555617,2,3,2.0,Entire home/apt,Mitte
214.50158140294337,5,2,1.5,Private room,Mitte
101.26354406215411,5,2,1.0,Shared room,Kreuzberg
82.38738810302308,4,1,1.0,Shared room,Prenzlauer Berg
85.95410447205114,2,1,1.0,Private room,Neukolln
116.86053456192049,5,2,1.5,Private room,Neukolln
63.02526938021051,3,1,1.5,Entire home/apt,Prenzlauer Berg
73.9678847249345,1,2,1.5,Shared room,Mitte
155.99089574297003,1,3,1.5,Entire home/apt,Neukolln
115.12510461292257,1,1,1.5,Entire home/apt,Neukolln
101.8064336191552,2,2,1.0,Entire home/apt,Prenzlauer Berg
160.24054258716137,4,3,1.5,Shared room,Neukolln
66.58743135126102,5,3,1.5,Entire home/apt,Mitte
81.13739668923921,3,2,1.0,Entire home/apt,Prenzlauer Berg
113.15721219125577,3,1,1.5,Entire home/apt,Mitte
111.07658362389452,2,2,1.0,Entire home/apt,Neukolln
47.03382297193652,1,3,1.0,Entire home/apt,Neukolln
77.2184565442046,2,2,2.0,Entire home/apt,Mitte
88.67993481446425,4,1,2.0,Shared room,Kreuzberg
119.78422168127071,4,3,2.0,Entire home/apt,Neukolln
110.87054566070398,5,2,2.0,Private room,Kreuzberg
92.89571856005236,5,1,1.5,Entire home/apt,Neukolln
38.56420327624002,4,3,2.0,Entire home/apt,Kreuzberg
95.30684777805843,4,1,1.0,Shared room,Kreuzberg
